,id,zipcode,condition,price,region_price_median,recommendation
0,7129300520,98178,3,221900.0,278277.0,Buy
1,4060000240,98178,4,205425.0,278277.0,Buy
2,4058801670,98178,3,445000.0,278277.0,Not Buy
3,2976800796,98178,3,236000.0,278277.0,Buy
4,6874200960,98178,3,170000.0,278277.0,Buy
5,4268200055,98178,3,245000.0,278277.0,Buy
6,3969300030,98178,3,165000.0,278277.0,Buy
7,3969300030,98178,3,239900.0,278277.0,Buy
8,1678400105,98178,3,339000.0,278277.0,Not Buy
9,2172000075,98178,3,290900.0,278277.0,Not Buy
10,1180003090,98178,3,190000.0,278277.0,Buy
11,561000075,98178,4,260000.0,278277.0,Buy
12,1123049053,98178,3,360000.0,278277.0,Not Buy
13,7812800565,98178,4,289500.0,278277.0,Not Buy
14,3348401740,98178,3,188000.0,278277.0,Buy
15,2171400197,98178,3,350000.0,278277.0,Not Buy
16,5476200160,98178,3,164808.0,278277.0,Buy
17,9368700223,98178,5,310000.0,278277.0,Not Buy
18,7567600045,98178,4,825000.0,278277.0,Not Buy
19,2171400126,98178,3,269000.0,278277.0,Buy
20,3352402236,98178,5,252500.0,278277.0,Buy
21,8069000075,98178,3,790000.0,278277.0,Not Buy
22,7812800310,98178,3,260000.0,278277.0,Buy
23,2171400218,98178,3,245000.0,278277.0,Buy
24,8073000550,98178,3,1700000.0,278277.0,Not Buy
25,4058800830,98178,3,612000.0,278277.0,Not Buy
26,9368700341,98178,5,285000.0,278277.0,Not Buy
27,1180002378,98178,3,299000.0,278277.0,Not Buy
28,185000118,98178,5,212000.0,278277.0,Buy
29,3810000860,98178,3,240000.0,278277.0,Buy
30,3810000565,98178,3,255000.0,278277.0,Buy
31,1180500070,98178,3,335000.0,278277.0,Not Buy
32,179000350,98178,3,194000.0,278277.0,Buy
33,3810000202,98178,3,251700.0,278277.0,Buy
34,4058802105,98178,3,150000.0,278277.0,Buy
35,2976800550,98178,3,280005.0,278277.0,Not Buy
36,3810000465,98178,4,243000.0,278277.0,Buy
37,7129300400,98178,3,400000.0,278277.0,Not Buy
38,7878400135,98178,3,355000.0,278277.0,Not Buy
39,7887200390,98178,3,294000.0,278277.0,Not Buy
40,179003055,98178,3,210000.0,278277.0,Buy
41,3352400004,98178,3,184500.0,278277.0,Buy
42,3352401981,98178,3,199000.0,278277.0,Buy
43,393000045,98178,3,415000.0,278277.0,Not Buy
44,2144800215,98178,4,285000.0,278277.0,Not Buy
45,5476200123,98178,3,200000.0,278277.0,Buy
46,8073000495,98178,3,700000.0,278277.0,Not Buy
47,3800008,98178,3,178000.0,278277.0,Buy
48,2172000750,98178,3,160000.0,278277.0,Buy
49,7813200115,98178,3,100000.0,278277.0,Buy
50,4058801240,98178,4,330000.0,278277.0,Not Buy
51,9282801720,98178,4,355000.0,278277.0,Not Buy
52,3352402250,98178,3,119900.0,278277.0,Buy
53,7657000165,98178,3,200000.0,278277.0,Buy
54,561000300,98178,3,345100.0,278277.0,Not Buy
55,399000195,98178,3,200000.0,278277.0,Buy
56,3348401584,98178,3,210000.0,278277.0,Buy
57,1159100100,98178,4,359950.0,278277.0,Not Buy
58,8073000265,98178,4,360000.0,278277.0,Not Buy
59,399000025,98178,3,265000.0,278277.0,Buy
60,9368700031,98178,3,195000.0,278277.0,Buy
61,1180500100,98178,3,353000.0,278277.0,Not Buy
62,3991400080,98178,3,499900.0,278277.0,Not Buy
63,3352402195,98178,3,169000.0,278277.0,Buy
64,2328800130,98178,3,220000.0,278277.0,Buy
65,9282801950,98178,3,279000.0,278277.0,Not Buy
66,3348401319,98178,3,372500.0,278277.0,Not Buy
67,8068000585,98178,5,235000.0,278277.0,Buy
68,623059016,98178,3,1100000.0,278277.0,Not Buy
69,7129300420,98178,5,258000.0,278277.0,Buy
70,4060000440,98178,3,241000.0,278277.0,Buy
71,185000161,98178,3,261000.0,278277.0,Buy
72,7878400022,98178,3,390000.0,278277.0,Not Buy
73,4141680190,98178,3,375000.0,278277.0,Not Buy
74,3810000020,98178,3,352000.0,278277.0,Not Buy
75,4058801310,98178,3,287000.0,278277.0,Not Buy
76,8068000305,98178,3,241000.0,278277.0,Buy
77,8067000020,98178,3,295000.0,278277.0,Not Buy
